Year,Country,Company,Developer_Type,Experience_Level,Avg_Salary_USD,Requirement_Rate,Remote_Work,Job_Satisfaction,Work_Hours_Per_Week
2013,UK,Microsoft,Data Scientist,Senior,72053,87,Yes,5,37
2013,Canada,Netflix,Mobile Developer,Mid,92761,57,Yes,7,50
2017,Canada,Netflix,Full Stack Developer,Junior,103758,88,No,9,41
2019,Germany,Infosys,Full Stack Developer,Mid,113009,63,No,6,42
2015,India,Infosys,Frontend Developer,Senior,27393,53,Yes,7,53
2017,UK,Accenture,Frontend Developer,Junior,90961,60,No,7,54
2013,Canada,Microsoft,Backend Developer,Junior,87317,89,No,9,40
2015,India,TCS,Mobile Developer,Junior,19371,56,Yes,9,54
2017,Canada,Microsoft,Data Scientist,Mid,86282,80,No,10,44
2011,USA,Wipro,Backend Developer,Mid,86292,83,Yes,9,54
2013,Germany,IBM,Backend Developer,Senior,70076,54,No,5,41
2015,India,TCS,Backend Developer,Junior,30528,94,Yes,9,41
2011,USA,Microsoft,Full Stack Developer,Senior,91776,66,Yes,5,43
2019,India,Accenture,Mobile Developer,Junior,41077,87,Yes,10,53
2019,Germany,Microsoft,Mobile Developer,Senior,80102,84,No,10,39
2017,Germany,Accenture,Full Stack Developer,Senior,93983,81,Yes,5,43
2013,Canada,Amazon,Mobile Developer,Senior,76579,94,Yes,7,46
2013,India,TCS,Frontend Developer,Senior,27745,88,Yes,10,35
2013,Canada,TCS,Frontend Developer,Mid,78778,71,No,6,37
2017,India,Netflix,Frontend Developer,Senior,36059,80,No,5,52
2013,India,Infosys,Backend Developer,Mid,27798,94,No,5,53
2019,UK,Microsoft,Data Scientist,Junior,102321,90,Yes,9,46
2019,India,Accenture,Mobile Developer,Senior,38024,81,No,9,47
2011,UK,Wipro,Mobile Developer,Junior,69222,65,Yes,10,37
2013,UK,Netflix,Mobile Developer,Senior,91384,62,Yes,7,48
2017,USA,Amazon,Backend Developer,Senior,86162,68,Yes,9,39
2019,Germany,Netflix,Backend Developer,Senior,84941,73,Yes,7,37
2017,Canada,Wipro,Data Scientist,Senior,75027,92,Yes,8,46
2011,India,Google,Backend Developer,Junior,13412,71,No,10,47
2015,UK,Infosys,Full Stack Developer,Junior,64735,76,Yes,9,54
2011,USA,Netflix,Frontend Developer,Senior,99818,74,Yes,7,52
2015,USA,Netflix,Full Stack Developer,Senior,88893,66,No,9,54
2013,UK,TCS,Data Scientist,Mid,84047,51,Yes,9,38
2019,UK,Amazon,Frontend Developer,Mid,94938,51,No,7,49
2013,UK,Microsoft,Mobile Developer,Mid,57276,74,No,10,50
2017,India,TCS,Data Scientist,Mid,38575,89,Yes,9,50
2013,India,Microsoft,Data Scientist,Junior,20806,78,Yes,6,50
2015,Germany,Accenture,Frontend Developer,Mid,94901,72,No,7,44
2013,Australia,Netflix,Backend Developer,Mid,76238,81,Yes,9,54
2015,UK,Wipro,Backend Developer,Mid,95027,81,No,7,42
2015,Canada,TCS,Backend Developer,Junior,100105,60,Yes,10,42
2015,USA,Accenture,Full Stack Developer,Junior,101789,61,No,7,35
2011,Germany,Accenture,Data Scientist,Mid,99024,79,Yes,5,53
2013,Germany,Accenture,Full Stack Developer,Senior,69420,82,Yes,6,37
2017,UK,Infosys,Data Scientist,Senior,78835,59,Yes,6,45
2011,Canada,TCS,Data Scientist,Mid,77117,79,No,10,47
2017,UK,Netflix,Backend Developer,Senior,93835,81,No,8,52
2013,Australia,Accenture,Mobile Developer,Mid,92086,66,Yes,5,41
2013,India,Netflix,Backend Developer,Mid,20153,64,No,8,48
2019,Australia,Wipro,Frontend Developer,Junior,105018,66,Yes,9,35
2011,UK,Amazon,Mobile Developer,Junior,81989,86,Yes,10,51
2011,Australia,Wipro,Data Scientist,Junior,71897,71,Yes,6,47
2015,Germany,Infosys,Full Stack Developer,Senior,99190,76,No,9,38
2015,Canada,Infosys,Full Stack Developer,Junior,95233,56,No,6,49
2013,UK,IBM,Frontend Developer,Mid,63567,91,Yes,9,48
2015,Canada,Infosys,Backend Developer,Senior,74598,76,No,8,44
2013,Australia,Infosys,Frontend Developer,Mid,95600,51,Yes,10,53
2015,Canada,Netflix,Frontend Developer,Junior,84484,62,Yes,9,46
2015,USA,IBM,Data Scientist,Mid,114361,95,No,8,41
2015,Australia,TCS,Mobile Developer,Junior,104074,60,No,5,49
2017,UK,Wipro,Frontend Developer,Mid,85779,94,Yes,5,53
2019,Canada,Accenture,Backend Developer,Mid,97743,55,No,6,54
2015,Germany,Infosys,Mobile Developer,Mid,83126,59,No,7,38
2013,Germany,TCS,Data Scientist,Mid,101967,83,Yes,5,45
2017,USA,Amazon,Full Stack Developer,Senior,85932,77,No,10,39
2013,Canada,Microsoft,Data Scientist,Mid,89044,67,Yes,8,49
2015,USA,Wipro,Frontend Developer,Senior,116473,91,No,8,44
2011,Germany,TCS,Frontend Developer,Senior,89665,55,No,9,41
2019,Australia,TCS,Backend Developer,Junior,108295,67,Yes,9,43
2019,Canada,Accenture,Backend Developer,Mid,114157,82,Yes,7,50
2013,USA,Accenture,Backend Developer,Mid,77118,56,No,5,42
2011,Canada,Microsoft,Mobile Developer,Mid,67900,58,No,9,48
2017,Germany,Microsoft,Backend Developer,Mid,95624,52,No,8,38
2017,UK,IBM,Frontend Developer,Junior,80334,84,Yes,6,39
2013,USA,Infosys,Mobile Developer,Mid,100406,69,Yes,10,55
2015,USA,Microsoft,Backend Developer,Senior,96094,77,No,8,54
2011,Germany,Infosys,Full Stack Developer,Mid,71113,75,Yes,6,55
2015,Canada,IBM,Mobile Developer,Senior,73503,85,Yes,10,40
2013,Germany,Accenture,Backend Developer,Junior,95971,50,Yes,9,49
2015,Canada,Netflix,Data Scientist,Senior,70849,85,No,6,43
2013,USA,Meta,Backend Developer,Junior,105178,59,Yes,8,51
2011,Germany,TCS,Mobile Developer,Mid,74197,73,No,9,50
2015,USA,Accenture,Backend Developer,Junior,113340,87,No,6,38
2011,UK,TCS,Data Scientist,Mid,60806,89,No,8,47
2013,USA,Amazon,Data Scientist,Mid,84180,57,Yes,6,48
2019,India,Accenture,Data Scientist,Mid,32639,81,No,7,53
2017,Canada,Infosys,Mobile Developer,Mid,103174,74,Yes,9,50
2013,UK,Meta,Mobile Developer,Mid,62955,57,Yes,8,41
2011,USA,IBM,Backend Developer,Senior,129292,52,No,10,44
2013,Canada,Google,Data Scientist,Senior,97177,94,Yes,8,45
2017,Canada,Accenture,Full Stack Developer,Mid,106050,73,No,8,36
2011,USA,Google,Backend Developer,Junior,122127,91,Yes,5,42
2017,UK,Wipro,Data Scientist,Senior,70936,78,Yes,7,40
2017,Germany,Microsoft,Mobile Developer,Senior,112646,66,No,7,35
2015,Canada,Infosys,Backend Developer,Senior,90527,59,No,5,51
2015,Germany,TCS,Data Scientist,Senior,89097,87,No,5,36
2015,UK,Accenture,Backend Developer,Mid,93992,51,Yes,9,41
2011,Canada,Google,Data Scientist,Senior,80717,89,Yes,10,35
2017,UK,IBM,Full Stack Developer,Senior,93927,58,No,9,41
2019,India,Microsoft,Mobile Developer,Mid,35092,78,Yes,10,46
2017,Canada,Google,Data Scientist,Mid,104177,69,No,9,45
2019,USA,Amazon,Data Scientist,Junior,109236,92,Yes,10,48
2011,USA,TCS,Full Stack Developer,Mid,71874,65,No,5,42
2013,Australia,IBM,Full Stack Developer,Mid,90193,52,Yes,10,43
2011,UK,TCS,Full Stack Developer,Senior,59267,52,No,6,50
2019,Germany,Google,Data Scientist,Senior,108611,86,Yes,7,37
2015,USA,Accenture,Mobile Developer,Junior,118380,64,Yes,5,53
2015,Canada,TCS,Frontend Developer,Mid,89247,87,Yes,8,55
2015,UK,IBM,Data Scientist,Junior,89035,84,Yes,10,45
2015,Germany,Google,Mobile Developer,Mid,81074,92,No,7,41
2019,UK,Accenture,Data Scientist,Junior,106403,93,No,7,51
2011,Australia,Netflix,Frontend Developer,Mid,80806,66,No,5,39
2015,USA,Accenture,Data Scientist,Senior,103705,82,Yes,5,54
2011,India,Netflix,Mobile Developer,Junior,23714,62,Yes,9,51
2015,Canada,Meta,Backend Developer,Senior,83993,79,Yes,6,51
2015,Germany,Netflix,Backend Developer,Junior,107190,53,No,8,38
2011,India,Meta,Frontend Developer,Senior,19198,53,No,5,51
2011,India,Google,Data Scientist,Junior,8483,57,Yes,6,51
2013,USA,Meta,Backend Developer,Junior,128383,65,Yes,8,40
2019,UK,Netflix,Data Scientist,Mid,79636,51,No,10,48
2017,Germany,Meta,Data Scientist,Mid,109366,63,No,8,53
2015,Canada,Infosys,Backend Developer,Senior,90699,79,No,5,40
2015,India,Netflix,Data Scientist,Senior,21483,57,No,8,44
2017,USA,Microsoft,Frontend Developer,Senior,136640,84,Yes,7,54
2015,Australia,Accenture,Full Stack Developer,Senior,89964,87,No,10,38
2011,UK,Accenture,Full Stack Developer,Junior,75546,76,Yes,8,38
2013,Canada,Meta,Mobile Developer,Senior,71838,75,Yes,8,39
2013,Germany,Netflix,Frontend Developer,Senior,97069,54,No,5,51
2013,Germany,TCS,Full Stack Developer,Mid,65352,53,No,5,40
2013,USA,Infosys,Full Stack Developer,Mid,87119,63,Yes,8,36
2011,Australia,Netflix,Backend Developer,Junior,90205,57,No,8,48
2019,UK,Microsoft,Data Scientist,Junior,96408,93,No,6,55
2019,Germany,Infosys,Data Scientist,Senior,85403,86,Yes,10,53
2011,USA,Netflix,Backend Developer,Mid,129574,63,No,5,52
2011,UK,Amazon,Full Stack Developer,Mid,50558,79,Yes,7,45
2013,USA,Microsoft,Frontend Developer,Senior,126241,89,Yes,6,45
2019,Germany,Amazon,Mobile Developer,Mid,86719,57,No,6,40
2017,Germany,IBM,Backend Developer,Junior,99265,54,Yes,7,50
2015,India,Meta,Frontend Developer,Junior,26644,70,Yes,10,39
2017,Germany,Meta,Data Scientist,Junior,96245,89,Yes,9,46
2019,UK,Microsoft,Backend Developer,Senior,81448,83,No,5,53
2015,USA,Netflix,Mobile Developer,Senior,99910,62,Yes,9,43
2019,Germany,Meta,Backend Developer,Mid,97110,83,Yes,10,55
2011,India,Google,Frontend Developer,Mid,10906,73,No,10,45
2019,USA,Infosys,Backend Developer,Mid,112132,85,No,8,48
2013,Canada,Accenture,Frontend Developer,Junior,74311,58,Yes,6,44
2019,Canada,Netflix,Frontend Developer,Junior,80951,74,Yes,7,37
2019,Canada,Google,Mobile Developer,Junior,86525,94,No,10,43
2017,UK,TCS,Frontend Developer,Senior,97002,59,Yes,5,54
2015,UK,Google,Full Stack Developer,Mid,65855,58,No,5,48
2013,Australia,Netflix,Backend Developer,Junior,99332,56,Yes,7,41
2019,Australia,Netflix,Data Scientist,Mid,99884,53,Yes,5,40
2013,India,Wipro,Backend Developer,Senior,29374,85,No,8,45
2017,Germany,Accenture,Backend Developer,Mid,77164,68,Yes,6,45
2011,India,Infosys,Frontend Developer,Mid,17037,56,No,8,42
2017,Canada,Meta,Full Stack Developer,Senior,97699,60,Yes,6,47
2017,Germany,Accenture,Frontend Developer,Senior,80603,81,Yes,7,49
2013,Germany,Wipro,Frontend Developer,Senior,104499,65,Yes,8,40
2015,Australia,Meta,Data Scientist,Junior,102729,53,Yes,6,40
2013,Canada,Meta,Data Scientist,Mid,68262,68,No,5,38
2017,Australia,Infosys,Backend Developer,Senior,86901,56,Yes,9,50
2019,Australia,Netflix,Frontend Developer,Senior,96408,68,Yes,7,46
2011,UK,Meta,Backend Developer,Junior,67501,59,No,6,46
2019,Australia,Meta,Data Scientist,Junior,107734,94,Yes,9,46
2015,USA,Netflix,Data Scientist,Senior,138055,74,No,6,50
2013,Germany,Wipro,Data Scientist,Senior,101933,50,Yes,6,38
2011,USA,Meta,Backend Developer,Mid,93158,76,Yes,7,38
2015,India,Amazon,Full Stack Developer,Junior,18308,85,No,10,40
2015,UK,Meta,Data Scientist,Mid,61511,68,Yes,9,46
2011,USA,Netflix,Data Scientist,Senior,99200,72,Yes,7,35
2015,Australia,Netflix,Mobile Developer,Mid,75482,51,Yes,10,44
2013,India,Netflix,Frontend Developer,Senior,25356,79,No,8,38
2019,UK,IBM,Frontend Developer,Junior,75507,89,Yes,9,44
2015,Canada,TCS,Full Stack Developer,Senior,82810,72,Yes,8,37
2019,USA,Wipro,Full Stack Developer,Senior,146340,76,Yes,8,35
2019,India,IBM,Frontend Developer,Senior,39333,92,Yes,10,43
2013,Australia,Google,Backend Developer,Mid,74328,95,Yes,9,41
2017,India,Wipro,Frontend Developer,Senior,23730,54,No,7,42
2011,Germany,Netflix,Backend Developer,Senior,78921,70,No,6,46
2017,USA,Google,Backend Developer,Mid,97167,87,Yes,5,48
2019,India,Infosys,Backend Developer,Mid,30618,89,Yes,10,50
2013,Canada,Infosys,Frontend Developer,Junior,77914,70,No,9,35
2013,Canada,Accenture,Frontend Developer,Senior,92333,86,Yes,9,48
2017,Germany,Google,Frontend Developer,Senior,99504,83,No,6,47
2015,USA,Netflix,Full Stack Developer,Junior,94974,85,Yes,10,35
2011,UK,Infosys,Frontend Developer,Mid,61659,52,No,10,38
2017,Canada,Wipro,Mobile Developer,Junior,109914,59,Yes,7,52
2013,Australia,IBM,Data Scientist,Mid,92816,90,Yes,6,48
2013,Canada,Amazon,Data Scientist,Junior,67106,90,No,6,51
2011,Germany,IBM,Data Scientist,Senior,91585,72,Yes,5,55
2019,UK,IBM,Frontend Developer,Senior,99569,60,Yes,8,54
2011,Germany,TCS,Mobile Developer,Mid,81303,72,Yes,5,53
2011,India,Wipro,Frontend Developer,Junior,14770,95,Yes,10,55
2017,Canada,IBM,Data Scientist,Junior,101915,65,Yes,10,44
2019,Australia,Accenture,Backend Developer,Mid,106876,89,Yes,7,50
2017,USA,Accenture,Backend Developer,Senior,132241,94,Yes,8,38
2011,India,Google,Mobile Developer,Senior,24543,53,No,9,45
2017,USA,TCS,Data Scientist,Senior,113994,71,No,10,44
2011,Canada,Netflix,Backend Developer,Junior,66741,92,Yes,7,45
2011,India,IBM,Full Stack Developer,Senior,24520,54,Yes,10,38
2011,UK,Infosys,Mobile Developer,Senior,79459,78,Yes,8,46
2017,UK,Accenture,Data Scientist,Junior,103322,52,No,9,52
2019,Germany,Amazon,Frontend Developer,Senior,97673,94,No,5,43
2011,UK,Microsoft,Mobile Developer,Junior,66014,67,Yes,5,41
2015,India,Meta,Mobile Developer,Junior,26570,89,No,6,44
2017,USA,Infosys,Frontend Developer,Mid,130102,65,No,6,51
2017,USA,Wipro,Full Stack Developer,Senior,86040,91,Yes,5,36
2011,India,Infosys,Data Scientist,Senior,22054,87,No,7,48
2017,India,Amazon,Data Scientist,Mid,28452,70,Yes,5,40
2011,Australia,Wipro,Full Stack Developer,Junior,70688,69,Yes,5,50
2015,Australia,Accenture,Frontend Developer,Junior,78179,65,No,9,48
2011,Canada,Google,Data Scientist,Senior,88715,51,Yes,6,46
2013,Germany,Google,Backend Developer,Junior,68047,87,No,10,51
2017,Germany,Wipro,Backend Developer,Mid,99320,74,Yes,9,46
2015,Germany,IBM,Mobile Developer,Junior,87896,52,Yes,8,52
2015,USA,Accenture,Mobile Developer,Mid,127229,66,Yes,8,46
2019,Australia,Amazon,Backend Developer,Mid,102080,78,Yes,10,43
2013,Canada,Wipro,Backend Developer,Senior,88482,59,Yes,9,51
2015,USA,Google,Frontend Developer,Senior,137137,51,No,9,39
2015,Australia,Meta,Backend Developer,Junior,99437,87,No,10,35
2013,Canada,Microsoft,Backend Developer,Mid,85382,91,Yes,5,52
2017,UK,Amazon,Frontend Developer,Senior,72746,84,No,6,35
2013,Germany,Microsoft,Frontend Developer,Mid,77147,66,Yes,9,53
2013,India,Google,Mobile Developer,Junior,28585,69,Yes,6,51
2013,UK,Amazon,Full Stack Developer,Senior,57658,95,Yes,6,42
2017,UK,Netflix,Frontend Developer,Junior,70388,81,Yes,10,43
2017,Canada,IBM,Mobile Developer,Junior,85126,71,Yes,5,46
2015,USA,Google,Full Stack Developer,Junior,97253,69,No,5,36
2017,UK,IBM,Data Scientist,Mid,72836,80,Yes,7,35
2015,Germany,Amazon,Data Scientist,Junior,83584,89,No,9,39
2015,India,Microsoft,Mobile Developer,Mid,34319,91,No,9,43
2011,Germany,IBM,Backend Developer,Mid,60649,59,No,9,35
2015,Australia,Meta,Full Stack Developer,Junior,108903,84,Yes,7,49
2019,Canada,IBM,Backend Developer,Senior,95157,65,Yes,10,39
2013,India,Netflix,Data Scientist,Mid,16779,53,No,5,41
2015,USA,Netflix,Data Scientist,Mid,111628,69,Yes,8,44
2013,India,Google,Backend Developer,Junior,18356,67,Yes,10,35
2017,Germany,Meta,Frontend Developer,Junior,82493,94,Yes,6,44
2011,Germany,Accenture,Data Scientist,Junior,86867,72,Yes,10,54
2019,Canada,TCS,Frontend Developer,Senior,97651,91,No,5,47
2011,India,Accenture,Mobile Developer,Senior,21332,64,No,9,43
2013,Canada,TCS,Backend Developer,Mid,87852,91,No,7,39
2019,USA,Wipro,Data Scientist,Senior,120856,64,Yes,8,35
2011,Canada,Google,Backend Developer,Senior,72082,53,No,7,54
2017,Canada,Amazon,Data Scientist,Senior,99591,56,Yes,6,47
2011,Canada,Infosys,Backend Developer,Mid,81280,61,No,9,41
2011,India,TCS,Backend Developer,Mid,15820,63,Yes,6,47
2013,Germany,Netflix,Data Scientist,Senior,96578,51,No,7,42
2015,UK,Meta,Mobile Developer,Senior,71309,65,Yes,8,44
2011,Canada,Microsoft,Full Stack Developer,Junior,78035,91,No,7,52
2011,Australia,Wipro,Mobile Developer,Junior,78981,67,Yes,10,41
2013,USA,Microsoft,Backend Developer,Mid,134959,68,Yes,5,38
2015,UK,Google,Data Scientist,Mid,88441,94,No,5,49
2019,India,Wipro,Backend Developer,Junior,38339,85,Yes,8,36
2019,UK,Microsoft,Backend Developer,Mid,77439,65,Yes,8,55
2019,UK,Amazon,Data Scientist,Junior,71940,52,Yes,7,42
2017,Canada,Meta,Frontend Developer,Senior,87599,69,Yes,5,43
2017,USA,Infosys,Mobile Developer,Mid,112454,94,Yes,8,49
2017,Germany,IBM,Backend Developer,Junior,98119,94,Yes,5,45
2011,Australia,IBM,Frontend Developer,Mid,75468,50,No,8,48
2019,UK,Amazon,Data Scientist,Junior,105368,54,No,7,36
2017,Canada,Infosys,Frontend Developer,Junior,92776,50,Yes,10,53
2013,Canada,Accenture,Mobile Developer,Senior,85925,91,Yes,8,53
2019,Canada,Google,Data Scientist,Junior,92789,51,No,7,37
2015,India,Amazon,Mobile Developer,Senior,18079,73,No,7,41
2011,Canada,Microsoft,Mobile Developer,Mid,76176,90,No,7,40
2013,UK,IBM,Frontend Developer,Senior,93433,50,No,7,38
2019,UK,Accenture,Frontend Developer,Mid,100738,91,No,6,41
2013,Germany,IBM,Backend Developer,Junior,91881,75,Yes,7,48
2017,Australia,Wipro,Full Stack Developer,Junior,104052,62,No,7,45
2017,UK,Netflix,Frontend Developer,Mid,67329,55,Yes,7,53
2017,Germany,Meta,Backend Developer,Junior,96765,56,No,9,40
2011,Australia,IBM,Data Scientist,Mid,71199,60,Yes,8,52
2013,Canada,Infosys,Mobile Developer,Senior,88169,59,No,8,36
2013,Germany,Google,Backend Developer,Mid,67972,83,Yes,7,47
2017,Australia,TCS,Mobile Developer,Mid,102599,75,Yes,5,37
2015,India,TCS,Data Scientist,Senior,30919,53,Yes,9,41
2011,UK,Wipro,Mobile Developer,Mid,63532,51,Yes,5,37
2017,India,Google,Full Stack Developer,Mid,23420,79,No,8,39
2011,Australia,Microsoft,Mobile Developer,Senior,68854,70,Yes,6,36
2019,Australia,Microsoft,Full Stack Developer,Junior,107379,88,No,8,48
2013,UK,Netflix,Data Scientist,Senior,80658,92,Yes,5,44
2017,Australia,Infosys,Data Scientist,Mid,112463,88,No,9,53
2019,UK,Microsoft,Backend Developer,Junior,82261,85,Yes,9,48
2013,UK,Accenture,Data Scientist,Junior,63899,61,Yes,9,53
2017,Canada,Netflix,Full Stack Developer,Mid,83466,87,Yes,9,52
2011,Germany,Microsoft,Full Stack Developer,Mid,68735,54,Yes,10,37
2013,Australia,Wipro,Mobile Developer,Senior,97807,58,Yes,5,36
2013,USA,Amazon,Full Stack Developer,Junior,86264,54,No,7,39
2015,USA,Wipro,Data Scientist,Mid,96742,69,No,10,39
2017,USA,Google,Backend Developer,Senior,113066,71,No,10,39
2019,USA,Wipro,Frontend Developer,Senior,102645,80,Yes,8,54
2015,India,Netflix,Data Scientist,Junior,18359,83,No,5,48
2011,Germany,IBM,Frontend Developer,Senior,85087,83,Yes,8,50
2019,Canada,Wipro,Data Scientist,Senior,95230,82,No,5,42
2011,UK,Meta,Full Stack Developer,Mid,53765,82,Yes,6,52
