Year,Country,Company,Developer_Type,Experience_Level,Avg_Salary_USD,Requirement_Rate,Covid_Phase,Layoff_Risk,Remote_Work_Percentage,Job_Satisfaction,Work_Hours_Per_Week
2020,Canada,Amazon,Mobile Developer,Senior,61865,51,Lockdown,High,89,5,47
2020,Germany,Wipro,Data Scientist,Junior,81376,69,Lockdown,High,88,9,45
2019,Canada,Microsoft,Full Stack Developer,Senior,75880,68,Pre-Covid,Low,10,9,47
2021,Australia,Infosys,Backend Developer,Mid,108821,91,Recovery,Low,88,8,40
2019,Australia,Infosys,Backend Developer,Mid,88719,72,Pre-Covid,Low,27,5,48
2019,India,Microsoft,Backend Developer,Junior,10897,68,Pre-Covid,Low,11,7,36
2020,Australia,Microsoft,Mobile Developer,Mid,59095,51,Lockdown,Medium,88,10,53
2020,USA,Wipro,Frontend Developer,Junior,92620,61,Lockdown,Medium,75,10,41
2021,Germany,IBM,Data Scientist,Mid,116872,88,Recovery,Medium,89,10,37
2019,USA,Microsoft,Backend Developer,Senior,122600,78,Pre-Covid,Low,30,9,45
2019,USA,Microsoft,Data Scientist,Senior,137258,87,Pre-Covid,Low,35,5,35
2020,UK,Google,Data Scientist,Senior,55645,61,Lockdown,High,90,6,36
2021,Canada,TCS,Data Scientist,Senior,78803,100,Recovery,Low,74,9,55
2019,Canada,TCS,Mobile Developer,Senior,72357,67,Pre-Covid,Low,27,7,48
2020,Germany,Wipro,Backend Developer,Senior,80383,52,Lockdown,High,75,9,51
2020,USA,Infosys,Frontend Developer,Mid,105542,37,Lockdown,Medium,78,7,41
2021,USA,Microsoft,Full Stack Developer,Junior,106013,97,Recovery,Medium,76,6,39
2019,Australia,Netflix,Frontend Developer,Senior,99539,77,Pre-Covid,Low,22,8,42
2019,India,IBM,Mobile Developer,Mid,26460,61,Pre-Covid,Low,21,9,43
2019,India,Wipro,Mobile Developer,Mid,14410,84,Pre-Covid,Low,20,9,55
2020,UK,TCS,Data Scientist,Junior,69336,41,Lockdown,Medium,75,5,54
2020,USA,Infosys,Data Scientist,Senior,72098,55,Lockdown,Medium,75,9,39
2021,Australia,Wipro,Frontend Developer,Senior,118993,72,Recovery,Medium,69,9,41
2020,India,Infosys,Full Stack Developer,Junior,22547,56,Lockdown,High,80,9,52
2021,Germany,Wipro,Full Stack Developer,Mid,120185,100,Recovery,Medium,67,9,47
2019,UK,Infosys,Frontend Developer,Senior,80124,85,Pre-Covid,Low,33,9,36
2021,Germany,Wipro,Frontend Developer,Mid,123175,94,Recovery,Low,81,7,43
2021,Australia,IBM,Frontend Developer,Mid,109682,91,Recovery,Low,77,6,40
2019,UK,Amazon,Frontend Developer,Mid,76790,77,Pre-Covid,Low,13,8,47
2021,USA,Infosys,Mobile Developer,Junior,162854,92,Recovery,Medium,68,7,51
2021,Australia,Microsoft,Data Scientist,Junior,123477,91,Recovery,Low,67,7,49
2019,India,Wipro,Data Scientist,Mid,11683,77,Pre-Covid,Low,27,5,36
2019,Canada,Accenture,Full Stack Developer,Junior,76772,87,Pre-Covid,Low,29,8,37
2019,India,Microsoft,Full Stack Developer,Mid,13437,94,Pre-Covid,Low,33,5,46
2019,USA,Infosys,Backend Developer,Junior,121858,86,Pre-Covid,Low,17,10,44
2021,USA,TCS,Data Scientist,Junior,111600,87,Recovery,Medium,69,7,44
2021,India,TCS,Data Scientist,Junior,27983,89,Recovery,Medium,88,8,50
2019,Germany,Microsoft,Frontend Developer,Senior,71887,72,Pre-Covid,Low,29,6,43
2019,Australia,Accenture,Data Scientist,Junior,86525,78,Pre-Covid,Low,33,9,51
2020,Canada,Meta,Backend Developer,Junior,71279,42,Lockdown,Medium,84,8,46
2021,India,Infosys,Full Stack Developer,Junior,21996,76,Recovery,Low,65,9,38
2020,UK,Microsoft,Mobile Developer,Senior,54111,74,Lockdown,Medium,80,6,35
2021,UK,Microsoft,Backend Developer,Junior,94176,92,Recovery,Low,88,8,49
2020,Australia,Wipro,Data Scientist,Senior,91233,41,Lockdown,Medium,76,10,49
2020,USA,Wipro,Full Stack Developer,Mid,105563,52,Lockdown,High,81,6,39
2019,UK,Netflix,Full Stack Developer,Mid,63141,89,Pre-Covid,Low,24,10,36
2019,UK,Infosys,Frontend Developer,Junior,55026,66,Pre-Covid,Low,14,10,49
2019,Germany,IBM,Data Scientist,Junior,105054,82,Pre-Covid,Low,20,9,41
2021,Canada,Netflix,Data Scientist,Senior,87548,100,Recovery,Low,63,8,37
2019,USA,Infosys,Data Scientist,Junior,106478,70,Pre-Covid,Low,32,10,51
2020,India,Google,Mobile Developer,Senior,12224,42,Lockdown,Medium,79,7,49
2020,Australia,Netflix,Full Stack Developer,Senior,80976,46,Lockdown,High,85,8,52
2021,UK,Google,Full Stack Developer,Senior,75667,99,Recovery,Medium,83,7,39
2021,USA,Netflix,Backend Developer,Senior,131849,85,Recovery,Low,60,5,36
2020,USA,Wipro,Data Scientist,Mid,107935,63,Lockdown,High,76,8,45
2020,UK,TCS,Full Stack Developer,Mid,83681,69,Lockdown,Medium,75,9,41
2019,Canada,Amazon,Data Scientist,Junior,96514,79,Pre-Covid,Low,15,10,41
2021,India,Google,Backend Developer,Senior,21249,81,Recovery,Medium,86,6,46
2021,UK,Microsoft,Data Scientist,Senior,103767,100,Recovery,Medium,76,8,35
2019,Canada,Amazon,Data Scientist,Mid,77411,94,Pre-Covid,Low,29,9,37
2020,USA,Wipro,Data Scientist,Mid,78761,41,Lockdown,Medium,76,7,48
2020,Australia,TCS,Backend Developer,Senior,79371,61,Lockdown,High,79,5,36
2019,India,Microsoft,Data Scientist,Mid,17580,89,Pre-Covid,Low,12,8,49
2019,Australia,TCS,Backend Developer,Senior,104345,70,Pre-Covid,Low,25,6,44
2019,Germany,Microsoft,Full Stack Developer,Junior,86542,95,Pre-Covid,Low,10,10,40
2020,India,Accenture,Backend Developer,Mid,10104,77,Lockdown,Medium,70,10,52
2021,India,Netflix,Backend Developer,Senior,16915,100,Recovery,Medium,89,10,50
2019,Canada,Infosys,Backend Developer,Mid,94058,69,Pre-Covid,Low,19,9,38
2020,India,Wipro,Full Stack Developer,Junior,8024,48,Lockdown,Medium,87,7,45
2020,Australia,Netflix,Mobile Developer,Junior,74414,68,Lockdown,High,71,10,40
2021,USA,Google,Data Scientist,Senior,125296,100,Recovery,Low,70,8,46
2019,Australia,Meta,Backend Developer,Mid,79323,73,Pre-Covid,Low,10,9,35
2019,UK,Meta,Backend Developer,Junior,59648,60,Pre-Covid,Low,28,5,37
2019,Canada,Microsoft,Backend Developer,Mid,69494,67,Pre-Covid,Low,32,10,48
2020,Germany,Meta,Mobile Developer,Mid,74407,38,Lockdown,Medium,72,7,45
2019,Canada,Microsoft,Frontend Developer,Senior,98434,84,Pre-Covid,Low,24,6,53
2019,India,TCS,Frontend Developer,Senior,17111,95,Pre-Covid,Low,14,9,50
2019,Australia,TCS,Frontend Developer,Mid,103165,89,Pre-Covid,Low,29,10,49
2021,Germany,Accenture,Full Stack Developer,Junior,83383,81,Recovery,Medium,75,7,45
2021,India,Wipro,Full Stack Developer,Junior,30770,100,Recovery,Medium,66,8,45
2019,UK,Microsoft,Full Stack Developer,Mid,71812,88,Pre-Covid,Low,30,8,38
2020,USA,Wipro,Backend Developer,Junior,119197,67,Lockdown,High,76,6,36
2020,Canada,Wipro,Full Stack Developer,Junior,74302,65,Lockdown,High,95,5,48
2020,India,IBM,Data Scientist,Junior,20793,63,Lockdown,High,90,8,54
2020,UK,Microsoft,Full Stack Developer,Junior,64617,70,Lockdown,Medium,74,9,37
2019,Canada,Wipro,Backend Developer,Mid,91858,62,Pre-Covid,Low,26,9,49
2021,UK,Amazon,Mobile Developer,Mid,104167,78,Recovery,Medium,66,8,44
2020,UK,Microsoft,Full Stack Developer,Mid,44958,70,Lockdown,Medium,71,8,53
2020,USA,IBM,Data Scientist,Senior,73690,63,Lockdown,High,80,6,49
2021,India,Infosys,Mobile Developer,Mid,17283,81,Recovery,Medium,88,7,52
2019,India,Wipro,Frontend Developer,Junior,11429,72,Pre-Covid,Low,17,7,38
2021,USA,Microsoft,Frontend Developer,Junior,151738,100,Recovery,Medium,76,6,54
2021,India,Meta,Data Scientist,Senior,17406,100,Recovery,Medium,61,9,54
2019,Australia,Infosys,Mobile Developer,Mid,78101,87,Pre-Covid,Low,34,10,41
2021,UK,IBM,Backend Developer,Senior,96853,79,Recovery,Medium,70,8,40
2020,Australia,Microsoft,Data Scientist,Mid,79641,35,Lockdown,Medium,88,7,35
2021,Australia,Google,Frontend Developer,Junior,128317,89,Recovery,Medium,71,7,54
2020,Canada,Accenture,Mobile Developer,Junior,74173,42,Lockdown,High,72,5,54
2020,Germany,Meta,Backend Developer,Mid,64905,61,Lockdown,Medium,80,6,52
2019,Canada,Accenture,Frontend Developer,Junior,93586,68,Pre-Covid,Low,26,5,41
2020,Canada,Netflix,Full Stack Developer,Senior,75750,70,Lockdown,Medium,94,5,52
2020,Australia,Accenture,Frontend Developer,Mid,82822,63,Lockdown,Medium,92,10,42
2020,Germany,Accenture,Data Scientist,Senior,80447,52,Lockdown,High,71,6,41
2020,Canada,Accenture,Frontend Developer,Mid,63228,42,Lockdown,Medium,94,6,41
2020,UK,Google,Full Stack Developer,Senior,64192,61,Lockdown,High,87,5,41
2019,Canada,TCS,Data Scientist,Senior,72044,68,Pre-Covid,Low,14,8,43
2021,Germany,Wipro,Full Stack Developer,Mid,74212,84,Recovery,Medium,66,8,53
2019,Germany,Google,Frontend Developer,Mid,82054,63,Pre-Covid,Low,13,5,51
2021,USA,Netflix,Data Scientist,Senior,145538,87,Recovery,Low,90,6,39
2020,Canada,Infosys,Frontend Developer,Junior,57387,65,Lockdown,High,88,7,38
2019,Canada,TCS,Full Stack Developer,Junior,84874,67,Pre-Covid,Low,34,5,35
2019,Germany,Meta,Frontend Developer,Senior,106315,62,Pre-Covid,Low,27,5,39
2020,India,Accenture,Backend Developer,Junior,21309,68,Lockdown,High,78,7,48
2019,Canada,Microsoft,Backend Developer,Mid,88241,86,Pre-Covid,Low,16,8,43
2021,UK,Google,Frontend Developer,Mid,99913,90,Recovery,Medium,60,8,41
2020,Germany,Netflix,Full Stack Developer,Senior,81012,47,Lockdown,Medium,88,6,38
2020,USA,Amazon,Data Scientist,Junior,83264,51,Lockdown,High,86,9,43
2020,Canada,IBM,Backend Developer,Junior,55956,52,Lockdown,Medium,84,7,45
2020,India,Infosys,Backend Developer,Mid,17112,66,Lockdown,High,94,9,39
2019,Australia,Microsoft,Mobile Developer,Junior,98349,94,Pre-Covid,Low,11,6,37
2020,India,TCS,Mobile Developer,Junior,19139,65,Lockdown,Medium,83,6,43
2020,Canada,Microsoft,Frontend Developer,Junior,79120,42,Lockdown,Medium,87,8,38
2019,Germany,Netflix,Backend Developer,Mid,74455,65,Pre-Covid,Low,21,6,53
2019,Germany,Infosys,Data Scientist,Mid,79527,66,Pre-Covid,Low,29,8,50
2021,UK,Infosys,Frontend Developer,Junior,74671,96,Recovery,Medium,78,8,36
2019,Germany,Wipro,Full Stack Developer,Junior,93133,85,Pre-Covid,Low,19,9,49
2020,Canada,IBM,Frontend Developer,Junior,78680,60,Lockdown,High,94,8,40
2019,USA,Amazon,Frontend Developer,Mid,83046,74,Pre-Covid,Low,10,6,40
2019,Australia,IBM,Backend Developer,Junior,103929,77,Pre-Covid,Low,31,7,40
2019,UK,TCS,Backend Developer,Junior,85495,82,Pre-Covid,Low,30,7,38
2019,UK,Microsoft,Full Stack Developer,Senior,88972,85,Pre-Covid,Low,21,5,36
2021,Germany,Microsoft,Mobile Developer,Junior,128106,91,Recovery,Low,68,7,51
2020,USA,IBM,Mobile Developer,Senior,90403,33,Lockdown,Medium,77,8,37
2020,Canada,Wipro,Full Stack Developer,Senior,51816,41,Lockdown,Medium,76,8,38
2019,Germany,Google,Backend Developer,Mid,107485,94,Pre-Covid,Low,33,6,49
2019,India,Google,Full Stack Developer,Junior,24404,89,Pre-Covid,Low,13,8,44
2020,Canada,Meta,Mobile Developer,Senior,79932,80,Lockdown,Medium,71,6,38
2020,USA,Wipro,Backend Developer,Junior,90636,54,Lockdown,Medium,79,5,38
2020,Australia,Meta,Full Stack Developer,Mid,63897,70,Lockdown,Medium,79,8,49
2020,Germany,IBM,Full Stack Developer,Mid,90837,52,Lockdown,High,76,6,42
2020,USA,TCS,Full Stack Developer,Mid,86228,54,Lockdown,Medium,78,8,38
2021,Germany,Meta,Full Stack Developer,Junior,105196,77,Recovery,Low,62,8,48
2019,UK,Infosys,Mobile Developer,Mid,75607,60,Pre-Covid,Low,27,6,41
2019,Germany,Accenture,Backend Developer,Junior,85874,89,Pre-Covid,Low,18,5,42
2020,USA,TCS,Backend Developer,Mid,98127,68,Lockdown,High,87,5,54
2019,UK,Netflix,Full Stack Developer,Junior,59805,81,Pre-Covid,Low,29,8,51
2021,Germany,Microsoft,Data Scientist,Mid,93784,78,Recovery,Medium,87,5,41
2020,UK,Google,Backend Developer,Junior,65512,47,Lockdown,Medium,93,9,39
2019,Canada,Accenture,Full Stack Developer,Mid,90019,84,Pre-Covid,Low,26,10,48
2021,Canada,Microsoft,Mobile Developer,Junior,103311,97,Recovery,Medium,83,10,41
2019,Germany,Infosys,Data Scientist,Mid,68572,74,Pre-Covid,Low,22,10,35
2021,UK,Netflix,Data Scientist,Senior,66850,93,Recovery,Low,80,6,41
2021,Canada,TCS,Frontend Developer,Mid,80685,80,Recovery,Low,60,5,46
2021,USA,Wipro,Mobile Developer,Mid,122679,78,Recovery,Medium,80,7,39
2019,Canada,IBM,Data Scientist,Senior,78822,63,Pre-Covid,Low,10,5,54
2019,Germany,Accenture,Full Stack Developer,Mid,107422,95,Pre-Covid,Low,27,5,47
2019,UK,Google,Full Stack Developer,Mid,92156,70,Pre-Covid,Low,25,6,51
2021,Canada,Microsoft,Frontend Developer,Junior,76994,100,Recovery,Medium,73,5,35
2021,UK,Wipro,Mobile Developer,Mid,68170,84,Recovery,Low,74,9,48
2020,India,Wipro,Full Stack Developer,Senior,15772,56,Lockdown,Medium,77,5,36
2021,Germany,Meta,Full Stack Developer,Mid,114280,100,Recovery,Low,85,5,35
2020,UK,Wipro,Data Scientist,Junior,68685,61,Lockdown,Medium,78,8,43
2021,UK,Wipro,Mobile Developer,Mid,92912,72,Recovery,Low,72,5,38
2019,UK,Google,Full Stack Developer,Mid,84457,68,Pre-Covid,Low,28,9,36
2019,Australia,Amazon,Mobile Developer,Junior,79883,65,Pre-Covid,Low,10,5,42
2021,India,Netflix,Full Stack Developer,Senior,31228,94,Recovery,Medium,87,7,49
2019,Germany,Meta,Full Stack Developer,Mid,76822,62,Pre-Covid,Low,26,9,48
2019,USA,Microsoft,Mobile Developer,Senior,124136,78,Pre-Covid,Low,13,5,52
2019,UK,Amazon,Mobile Developer,Mid,73457,81,Pre-Covid,Low,12,8,54
2020,USA,Netflix,Full Stack Developer,Mid,83544,60,Lockdown,High,70,9,39
2021,Australia,Accenture,Frontend Developer,Senior,105284,100,Recovery,Medium,65,7,37
2021,UK,Meta,Mobile Developer,Senior,85703,95,Recovery,Low,64,5,36
2019,Germany,Google,Data Scientist,Mid,106877,84,Pre-Covid,Low,15,9,48
2019,USA,IBM,Full Stack Developer,Mid,114709,94,Pre-Covid,Low,16,6,48
2019,USA,Netflix,Backend Developer,Junior,104652,91,Pre-Covid,Low,35,5,54
2020,Germany,Microsoft,Full Stack Developer,Mid,74921,44,Lockdown,High,94,10,51
2020,UK,Accenture,Data Scientist,Mid,50206,64,Lockdown,High,70,9,35
2020,Australia,Google,Full Stack Developer,Junior,81692,78,Lockdown,Medium,81,9,37
2020,Canada,Amazon,Full Stack Developer,Junior,77794,61,Lockdown,High,74,9,43
2020,Germany,Google,Mobile Developer,Mid,86815,40,Lockdown,High,84,7,43
2020,UK,Netflix,Backend Developer,Junior,64720,62,Lockdown,Medium,82,9,35
2021,USA,Infosys,Backend Developer,Mid,125705,100,Recovery,Medium,80,9,50
2021,Canada,Netflix,Frontend Developer,Senior,96441,95,Recovery,Low,78,7,55
2020,USA,Microsoft,Backend Developer,Mid,66593,45,Lockdown,Medium,73,8,41
2021,UK,Infosys,Frontend Developer,Senior,100668,100,Recovery,Medium,90,8,37
2019,Australia,Netflix,Data Scientist,Junior,98215,81,Pre-Covid,Low,23,5,42
2021,India,Netflix,Data Scientist,Mid,11397,79,Recovery,Low,66,7,42
2019,Germany,Microsoft,Data Scientist,Senior,72006,64,Pre-Covid,Low,16,6,46
2019,UK,Google,Data Scientist,Senior,83068,86,Pre-Covid,Low,22,10,49
2020,USA,Infosys,Backend Developer,Mid,94486,59,Lockdown,High,70,10,38
2019,Germany,Amazon,Backend Developer,Senior,72905,65,Pre-Covid,Low,31,5,39
2019,Australia,TCS,Full Stack Developer,Senior,92857,89,Pre-Covid,Low,26,7,41
2019,Canada,Microsoft,Mobile Developer,Senior,97219,92,Pre-Covid,Low,13,8,43
2019,Australia,Amazon,Backend Developer,Mid,100845,81,Pre-Covid,Low,25,7,49
2021,USA,Infosys,Backend Developer,Mid,119349,83,Recovery,Medium,69,7,35
2020,Australia,TCS,Backend Developer,Junior,78980,65,Lockdown,Medium,72,10,50
2021,Australia,Netflix,Mobile Developer,Mid,89338,85,Recovery,Low,88,10,35
2020,India,Netflix,Frontend Developer,Senior,10200,62,Lockdown,Medium,85,7,43
2019,UK,Amazon,Mobile Developer,Senior,74863,66,Pre-Covid,Low,34,8,38
2020,UK,TCS,Frontend Developer,Senior,73356,69,Lockdown,Medium,95,9,35
2021,UK,Netflix,Mobile Developer,Junior,77022,91,Recovery,Low,69,5,40
2021,USA,Amazon,Full Stack Developer,Mid,172395,88,Recovery,Medium,67,10,47
2020,UK,IBM,Frontend Developer,Senior,72367,47,Lockdown,High,94,7,53
2020,India,Meta,Full Stack Developer,Mid,9824,65,Lockdown,Medium,70,9,47
2019,India,Amazon,Mobile Developer,Senior,13549,87,Pre-Covid,Low,17,10,40
2020,UK,TCS,Frontend Developer,Junior,75994,55,Lockdown,Medium,70,8,35
2019,Canada,Accenture,Full Stack Developer,Senior,97920,68,Pre-Covid,Low,23,7,53
2020,India,Netflix,Full Stack Developer,Senior,9017,53,Lockdown,Medium,93,6,50
2020,UK,Accenture,Backend Developer,Mid,56963,50,Lockdown,High,78,7,55
2020,Germany,Google,Frontend Developer,Mid,64014,42,Lockdown,Medium,82,5,46
2019,Germany,Microsoft,Frontend Developer,Junior,92579,81,Pre-Covid,Low,29,7,48
2021,India,Meta,Frontend Developer,Junior,14123,95,Recovery,Medium,83,8,41
2019,USA,TCS,Mobile Developer,Senior,134257,86,Pre-Covid,Low,15,5,44
2020,Germany,Amazon,Frontend Developer,Mid,65569,51,Lockdown,High,74,5,53
2021,Australia,Microsoft,Data Scientist,Mid,101649,100,Recovery,Low,64,6,53
2019,USA,Netflix,Backend Developer,Senior,104925,71,Pre-Covid,Low,21,6,38
2019,USA,TCS,Full Stack Developer,Senior,139630,92,Pre-Covid,Low,17,6,40
2019,India,IBM,Full Stack Developer,Mid,23778,85,Pre-Covid,Low,17,7,47
2019,UK,Wipro,Data Scientist,Junior,55623,63,Pre-Covid,Low,27,9,41
2020,India,Amazon,Backend Developer,Senior,25037,48,Lockdown,High,80,7,46
2019,UK,Accenture,Data Scientist,Mid,92788,70,Pre-Covid,Low,25,8,52
2020,Germany,Infosys,Full Stack Developer,Senior,76031,49,Lockdown,Medium,70,8,39
2021,USA,Meta,Full Stack Developer,Junior,153569,98,Recovery,Low,70,6,52
2021,USA,Infosys,Full Stack Developer,Mid,118438,100,Recovery,Medium,69,7,35
2021,UK,Microsoft,Frontend Developer,Senior,117071,82,Recovery,Medium,85,7,44
2020,Germany,Wipro,Backend Developer,Junior,81069,54,Lockdown,High,82,6,48
2019,UK,Wipro,Full Stack Developer,Junior,86432,84,Pre-Covid,Low,31,8,48
2020,Canada,Wipro,Mobile Developer,Senior,68982,73,Lockdown,Medium,74,7,50
2021,UK,Infosys,Frontend Developer,Senior,99043,96,Recovery,Medium,65,7,40
2019,USA,Google,Full Stack Developer,Mid,128746,66,Pre-Covid,Low,23,8,54
2019,Australia,Netflix,Mobile Developer,Junior,79799,67,Pre-Covid,Low,17,7,52
2020,Australia,Netflix,Backend Developer,Junior,91993,44,Lockdown,Medium,91,9,39
2019,Australia,Amazon,Mobile Developer,Senior,80231,87,Pre-Covid,Low,17,7,53
2020,India,Microsoft,Data Scientist,Mid,12252,37,Lockdown,Medium,74,5,50
2021,Germany,Google,Frontend Developer,Junior,112818,100,Recovery,Low,61,9,41
2021,USA,Amazon,Full Stack Developer,Senior,169634,100,Recovery,Medium,76,8,50
2021,India,Accenture,Backend Developer,Senior,27223,100,Recovery,Low,68,10,52
2021,India,Infosys,Mobile Developer,Junior,21671,79,Recovery,Medium,76,6,36
2019,UK,Netflix,Data Scientist,Senior,76331,73,Pre-Covid,Low,12,9,55
2021,Australia,TCS,Data Scientist,Senior,96681,100,Recovery,Medium,71,5,41
2019,UK,Meta,Full Stack Developer,Junior,81262,86,Pre-Covid,Low,26,10,40
2019,UK,TCS,Backend Developer,Junior,57042,65,Pre-Covid,Low,26,10,42
2019,India,Microsoft,Mobile Developer,Mid,15670,75,Pre-Covid,Low,14,6,53
2020,Australia,TCS,Mobile Developer,Senior,74846,75,Lockdown,High,81,10,55
2020,USA,Infosys,Full Stack Developer,Senior,99658,59,Lockdown,Medium,90,5,43
2020,Canada,Google,Full Stack Developer,Senior,55200,46,Lockdown,Medium,87,5,53
2020,UK,Infosys,Frontend Developer,Senior,56164,70,Lockdown,Medium,90,6,38
2020,India,Meta,Backend Developer,Mid,18643,49,Lockdown,High,70,9,49
2021,India,Amazon,Full Stack Developer,Senior,16767,72,Recovery,Medium,70,7,41
2019,Germany,Infosys,Full Stack Developer,Mid,108834,70,Pre-Covid,Low,34,10,35
2019,Germany,Amazon,Backend Developer,Junior,94360,93,Pre-Covid,Low,26,10,50
2020,USA,Wipro,Frontend Developer,Mid,96654,53,Lockdown,High,78,9,43
2021,Germany,Meta,Backend Developer,Senior,95303,90,Recovery,Medium,76,8,50
2019,Australia,TCS,Full Stack Developer,Mid,70164,73,Pre-Covid,Low,10,9,38
2021,UK,IBM,Data Scientist,Mid,114354,98,Recovery,Medium,87,9,49
2020,Germany,Google,Data Scientist,Mid,58110,63,Lockdown,High,74,8,55
2019,USA,Google,Full Stack Developer,Senior,117171,65,Pre-Covid,Low,17,5,46
2020,Germany,IBM,Full Stack Developer,Mid,61413,51,Lockdown,Medium,82,10,46
2020,UK,TCS,Data Scientist,Junior,62645,67,Lockdown,High,79,10,44
2020,Canada,Accenture,Full Stack Developer,Senior,57458,35,Lockdown,Medium,80,9,53
2019,Australia,Wipro,Full Stack Developer,Senior,90822,75,Pre-Covid,Low,29,8,36
2019,UK,Netflix,Mobile Developer,Senior,92161,83,Pre-Covid,Low,21,6,37
2020,Australia,Netflix,Frontend Developer,Senior,87741,45,Lockdown,High,91,10,41
2020,UK,Wipro,Full Stack Developer,Senior,68646,59,Lockdown,High,72,6,38
2021,USA,Netflix,Data Scientist,Senior,109245,85,Recovery,Medium,83,6,48
2020,Canada,Netflix,Backend Developer,Mid,50655,41,Lockdown,High,86,5,37
2021,Australia,Microsoft,Backend Developer,Mid,105577,100,Recovery,Medium,69,8,45
